date,country,first_dose,cumulation,population,percentage
2021-06-30,Austria,65257.72758640294,6465013.671683152,9047452,0.7145673358292647
2021-07-01,Austria,65474.55421457614,6530488.225897728,9047452,0.7218041306986462
2021-07-02,Austria,64789.066691509426,6595277.292589238,9047452,0.7289651597587076
2021-07-03,Austria,64473.393334828295,6659750.685924066,9047452,0.7360912979614666
2021-07-04,Austria,64020.40582473257,6723771.091748799,9047452,0.7431673681992232
2021-07-05,Austria,64120.23245897233,6787891.324207772,9047452,0.7502544721107967
2021-07-06,Austria,65957.24493379073,6853848.569141562,9047452,0.757544617992067
2021-07-07,Austria,66944.07155752643,6920792.640699089,9047452,0.7649438361982013
2021-07-08,Austria,66842.5840159579,6987635.224715047,9047452,0.7723318371531617
2021-07-09,Austria,66475.41062257835,7054110.635337625,9047452,0.7796792550364041
2021-07-10,Austria,65841.42306961952,7119952.058407244,9047452,0.7869565993173817
2021-07-11,Austria,65706.74966504343,7185658.808072288,9047452,0.7942190583682884
2021-07-12,Austria,65488.26210173276,7251147.070174021,9047452,0.8014573683479084
2021-07-13,Austria,67643.58869102132,7318790.658865042,9047452,0.8089339030331459
2021-07-14,Austria,68312.10112296426,7387102.759988006,9047452,0.8164843272987805
2021-07-15,Austria,68528.92770817706,7455631.687696183,9047452,0.8240587170505224
2021-07-16,Austria,67843.44013833895,7523475.127834522,9047452,0.8315573409877745
2021-07-17,Austria,67527.76672274424,7591002.8945572665,9047452,0.8390210740612126
2021-07-18,Austria,67074.77915225351,7658077.67370952,9047452,0.8464347391629732
2021-07-19,Austria,67174.60573692783,7725252.279446448,9047452,0.853859437933072
2021-07-20,Austria,69011.61816710999,7794263.897613558,9047452,0.8614871786679341
2021-07-21,Austria,69998.44475229701,7864262.342365855,9047452,0.8692239917233996
2021-07-22,Austria,69896.95718320449,7934159.29954906,9047452,0.8769495875246489
2021-07-23,Austria,69529.7837691952,8003689.083318255,9047452,0.8846346002519002
2021-07-24,Austria,68895.7962006732,8072584.879518928,9047452,0.8922495393751664
2021-07-25,Austria,68761.12278718932,8141346.002306118,9047452,0.8998495932673771
2021-07-26,Austria,68542.63521916288,8209888.637525281,9047452,0.90742549808778
2021-07-27,Austria,70697.9618059957,8280586.5993312765,9047452,0.9152396276135288
2021-07-28,Austria,71366.47423820104,8351953.073569478,9047452,0.9231276467197038
2021-07-29,Austria,71583.30082523209,8423536.37439471,9047452,0.931039631312187
2021-07-30,Austria,70897.81325753729,8494434.187652247,9047452,0.9388758500904174
2021-07-31,Austria,70582.13984461265,8565016.32749686,9047452,0.946677178005129
2021-08-01,Austria,70129.15227695071,8635145.47977381,9047452,0.9544284379484754
2021-08-02,Austria,70228.9788640202,8705374.45863783,9047452,0.962190731560425
2021-08-03,Austria,72065.99129632922,8777440.449934158,9047452,0.9701560671373729
2021-08-04,Austria,73052.81788337401,8850493.267817533,9047452,0.9782304750351295
2021-08-05,Austria,72951.33031565067,8923444.598133184,9047452,0.9862936656788214
2021-08-06,Austria,72584.15690265805,8996028.755035842,9047452,0.9943162732486276
2021-08-07,Austria,71950.16933490644,9067978.924370749,9047452,1.0022688072145338
2021-08-08,Austria,71815.49592188896,9139794.420292638,9047452,1.0102064559494361
2021-08-09,Austria,71597.00835411373,9211391.428646753,9047452,1.0181199556125584
2021-08-10,Austria,73752.33494108013,9285143.763587832,9047452,1.0262716799810414
2021-08-11,Austria,74420.84737329345,9359564.610961126,9047452,1.0344972939299513
2021-08-12,Austria,74637.67396025022,9434202.284921376,9047452,1.0427468733651615
2021-08-13,Austria,73952.18639245816,9508154.471313834,9047452,1.0509206869861076
2021-08-14,Austria,73636.51297941248,9581790.984293247,9047452,1.0590596097435219
2021-08-15,Austria,73183.52541161874,9654974.509704866,9047452,1.0671484645295566
2021-08-16,Austria,73283.35199857305,9728257.861703439,9047452,1.0752483529841814
2021-08-17,Austria,75120.36443078052,9803378.226134218,9047452,1.0835512834037935
2021-08-18,Austria,76107.19101773601,9879485.417151954,9047452,1.0919632861442043
2021-08-19,Austria,76005.70344994494,9955491.120601898,9047452,1.1003640716305427
2021-08-20,Austria,75638.53003690214,10031129.6506388,9047452,1.1087242740429903
2021-08-21,Austria,75004.54246911246,10106134.193107912,9047452,1.1170144028515334
2021-08-22,Austria,74869.86905607086,10181004.062163983,9047452,1.12528964642907
2021-08-23,Austria,74651.38148828229,10255655.443652265,9047452,1.133540740934825
2021-08-24,Austria,76806.7080752415,10332462.151727507,9047452,1.14203006014594
2021-08-25,Austria,77475.2205074535,10409937.372234961,9047452,1.1505932689374823
2021-08-26,Austria,77692.04709441317,10487629.419329375,9047452,1.1591804432153245
2021-08-27,Austria,77006.55952662547,10564635.978856001,9047452,1.1676918516789037
2021-08-28,Austria,76690.88611358528,10641326.864969587,9047452,1.1761683692789513
2021-08-29,Austria,76237.89854579765,10717564.763515385,9047452,1.18459481890762
2021-08-30,Austria,76337.72513275748,10793902.488648143,9047452,1.1930323022048797
2021-08-31,Austria,78174.73756496981,10872077.226213112,9047452,1.201672827467127
2021-09-01,Austria,79161.56415192958,10951238.790365042,9047452,1.2104224250501734
2021-09-02,Austria,79060.07658414183,11030298.866949184,9047452,1.219160805379148
2021-09-03,Austria,78692.90317110153,11108991.770120285,9047452,1.2278586026342317
2021-09-04,Austria,78058.91560331371,11187050.685723599,9047452,1.2364863262854116
2021-09-05,Austria,77924.24219027333,11264974.927913873,9047452,1.2450991647055847
2021-09-06,Austria,77705.75462248549,11342680.682536358,9047452,1.2536878540539764
2021-09-07,Austria,79861.08120944508,11422541.763745803,9047452,1.2625147681077284
2021-09-08,Austria,80529.59364165718,11503071.35738746,9047452,1.2714155717419071
2021-09-09,Austria,80746.42022861674,11583817.777616078,9047452,1.2803403408623861
2021-09-10,Austria,80060.93266082884,11663878.710276907,9047452,1.289189344168602
2021-09-11,Austria,79745.2592477884,11743623.969524696,9047452,1.2980034566112864
2021-09-12,Austria,79292.2716800005,11822916.241204698,9047452,1.3067675010825919
2021-09-13,Austria,79392.09826696006,11902308.339471657,9047452,1.315542579222488
2021-09-14,Austria,81229.11069917216,11983537.45017083,9047452,1.324520699327372
2021-09-15,Austria,82215.93728613172,12065753.387456961,9047452,1.333607891753055
2021-09-16,Austria,82114.44971834382,12147867.837175304,9047452,1.3426838669246661
2021-09-17,Austria,81747.27630530339,12229615.113480607,9047452,1.3517192590223863
2021-09-18,Austria,81113.28873751548,12310728.402218122,9047452,1.3606845775162026
